r	mu	stdev	T	lambda	t1	c1	c_hat1	t2	c2	c_hat2	t3	c3	c_hat3	b3	b_hat3	b2	b_hat2	b1	b_hat1	V_M	DP_Time	mean_M	var_M	semivar_MD	semivar_MU	TotalTime
2	1	0.05	0.3	0.2	0	1	1	0.15	1.2	0.8	0.3	1.4	0.6	-0.0218963623	0.0218963623	-0.01579284668	0.01594543457	0.0003814697266	0.0003814697266	0.9612904366	1.016228178	0.9611853887	0.003343590786	0.0023940606	0.0009495301862	7.242759987
2	1	0.05	0.4	0.02	0	1	1	0.2	1.02	0.98	0.4	1.04	0.96	-0.001907348633	0.001907348633	-0.01274108887	0.01808166504	0.00846862793	0.00846862793	0.967801627	0.9608780059	0.9679892948	0.003157697864	0.001999663811	0.001158034053	7.195548479
2	1	0.05	0.4	0.04	0	1	1	0.2	1.04	0.96	0.4	1.08	0.92	-0.003890991211	0.003890991211	-0.01472473145	0.01686096191	0.00373840332	0.00373840332	0.9669791494	0.973964216	0.9671140073	0.003158836982	0.002032812535	0.001126024447	7.238532606
2	1	0.05	0.4	0.06	0	1	1	0.2	1.06	0.94	0.4	1.12	0.88	-0.005874633789	0.005874633789	-0.01472473145	0.01594543457	0.002822875977	0.002822875977	0.9662112155	0.9668894359	0.9663086781	0.003171619715	0.002070461812	0.001101157903	7.165633452
2	1	0.05	0.4	0.08	0	1	1	0.2	1.08	0.92	0.4	1.16	0.84	-0.007858276367	0.007858276367	-0.01533508301	0.01594543457	0.001602172852	0.001602172852	0.9655106106	1.052536327	0.965578211	0.003174065956	0.002100604391	0.001073461565	7.287640741
2	1	0.05	0.4	0.1	0	1	1	0.2	1.1	0.9	0.4	1.2	0.8	-0.009841918945	0.009841918945	-0.01533508301	0.01609802246	0.001754760742	0.001754760742	0.9648640339	0.9759820029	0.9649407218	0.003193833855	0.002137310873	0.001056522982	7.244681784
2	1	0.05	0.4	0.12	0	1	1	0.2	1.12	0.88	0.4	1.24	0.76	-0.01182556152	0.01182556152	-0.01594543457	0.01625061035	0.0008392333984	0.0008392333984	0.9642798271	1.069482557	0.9642817501	0.003198225178	0.002166054759	0.001032170419	7.266336768
2	1	0.05	0.4	0.14	0	1	1	0.2	1.14	0.86	0.4	1.28	0.72	-0.0138092041	0.0138092041	-0.01594543457	0.01655578613	0.0008392333984	0.0008392333984	0.9637445426	0.9854553458	0.9637272255	0.003219462485	0.002201196726	0.00101826576	7.163091466
2	1	0.05	0.4	0.16	0	1	1	0.2	1.16	0.84	0.4	1.32	0.68	-0.01594543457	0.01594543457	-0.01625061035	0.01655578613	0.0006866455078	0.0006866455078	0.9632598424	0.990476147	0.9632472252	0.003234937369	0.002233419963	0.001001517406	7.228309232
2	1	0.05	0.4	0.18	0	1	1	0.2	1.18	0.82	0.4	1.36	0.64	-0.01808166504	0.01808166504	-0.01640319824	0.0170135498	0.0006866455078	0.0006866455078	0.96282037	1.253371143	0.962736538	0.003262525897	0.002270362508	0.0009921633896	7.429611444
2	1	0.05	0.4	0.2	0	1	1	0.2	1.2	0.8	0.4	1.4	0.6	-0.0203704834	0.0203704834	-0.01731872559	0.0171661377	0.0006866455078	0.0006866455078	0.9624243794	1.006309369	0.9623605865	0.003275883402	0.00229851567	0.0009773677325	7.182151919
2	1	0.05	0.5	0.02	0	1	1	0.25	1.02	0.98	0.5	1.04	0.96	-0.001754760742	0.001754760742	-0.01411437988	0.02082824707	0.01014709473	0.01014709473	0.970369671	0.9648896512	0.9705807301	0.003069178693	0.001864987767	0.001204190926	7.213513488
2	1	0.05	0.5	0.04	0	1	1	0.25	1.04	0.96	0.5	1.08	0.92	-0.00358581543	0.00358581543	-0.01594543457	0.01853942871	0.002975463867	0.002975463867	0.9694382086	1.233972041	0.9695751506	0.003068145505	0.001901141486	0.001167004019	7.434148809
2	1	0.05	0.5	0.06	0	1	1	0.25	1.06	0.94	0.5	1.12	0.88	-0.005264282227	0.005264282227	-0.01640319824	0.01808166504	0.002822875977	0.002822875977	0.9685414933	0.9647103108	0.9686796558	0.003078750604	0.001935672596	0.001143078008	7.154603529
2	1	0.05	0.5	0.08	0	1	1	0.25	1.08	0.92	0.5	1.16	0.84	-0.007095336914	0.007095336914	-0.01625061035	0.01808166504	0.001907348633	0.001907348633	0.9677102148	0.969433621	0.9677942683	0.003090131014	0.00197341889	0.001116712124	7.156465319
2	1	0.05	0.5	0.1	0	1	1	0.25	1.1	0.9	0.5	1.2	0.8	-0.008926391602	0.008926391602	-0.0170135498	0.01762390137	0.00114440918	0.00114440918	0.9669376096	1.327690978	0.9670018744	0.003096259813	0.002006924764	0.00108933505	7.506416266
2	1	0.05	0.5	0.12	0	1	1	0.25	1.12	0.88	0.5	1.24	0.76	-0.01075744629	0.01075744629	-0.0171661377	0.01808166504	0.00114440918	0.00114440918	0.9662167326	0.9852189058	0.9662838916	0.003114714818	0.002044762226	0.001069952593	7.211125158
2	1	0.05	0.5	0.14	0	1	1	0.25	1.14	0.86	0.5	1.28	0.72	-0.01274108887	0.01274108887	-0.01731872559	0.01792907715	0.0008392333984	0.0008392333984	0.9655507396	0.9794736209	0.9655753935	0.003129505934	0.002081163017	0.001048342917	7.21938728
2	1	0.05	0.5	0.16	0	1	1	0.25	1.16	0.84	0.5	1.32	0.68	-0.01457214355	0.01457214355	-0.01747131348	0.01808166504	0.0005340576172	0.0005340576172	0.9649344518	1.308982083	0.9648983384	0.003146956024	0.002115852731	0.001031103293	7.488492618
2	1	0.05	0.5	0.18	0	1	1	0.25	1.18	0.82	0.5	1.36	0.64	-0.01655578613	0.01655578613	-0.01792907715	0.01823425293	0.0006866455078	0.0006866455078	0.9643648655	0.987781456	0.9643502528	0.003167438898	0.002151956224	0.001015482674	7.167883813
2	1	0.05	0.5	0.2	0	1	1	0.25	1.2	0.8	0.5	1.4	0.6	-0.01853942871	0.01853942871	-0.01838684082	0.01853942871	0.0002288818359	0.0002288818359	0.9638423708	0.99266514	0.9638204331	0.003173423743	0.00217844933	0.0009949744135	7.171327137
2	1	0.05	0.6	0.02	0	1	1	0.3	1.02	0.98	0.6	1.04	0.96	-0.001602172852	0.001602172852	-0.01411437988	0.02265930176	0.01533508301	0.01533508301	0.9732076708	1.432493795	0.9734482034	0.002993277411	0.001744947977	0.001248329434	7.619754103
2	1	0.05	0.6	0.04	0	1	1	0.3	1.04	0.96	0.6	1.08	0.92	-0.003128051758	0.003128051758	-0.01670837402	0.01976013184	0.004348754883	0.004348754883	0.9721933123	0.9704285741	0.9724079094	0.002980922497	0.001773654051	0.001207268446	7.154145461
2	1	0.05	0.6	0.06	0	1	1	0.3	1.06	0.94	0.6	1.12	0.88	-0.004806518555	0.004806518555	-0.01777648926	0.02021789551	0.002365112305	0.002365112305	0.971186679	0.9651944488	0.9713777836	0.002986415494	0.001812229768	0.001174185726	7.153681439
2	1	0.05	0.6	0.08	0	1	1	0.3	1.08	0.92	0.6	1.16	0.84	-0.006332397461	0.006332397461	-0.01823425293	0.01930236816	0.002670288086	0.002670288086	0.9702286097	1.353087312	0.9703523848	0.003002314792	0.001850085692	0.001152229099	7.593538131
2	1	0.05	0.6	0.1	0	1	1	0.3	1.1	0.9	0.6	1.2	0.8	-0.008010864258	0.008010864258	-0.01823425293	0.01945495605	0.001602172852	0.001602172852	0.969331154	0.9770058838	0.969430313	0.003010742198	0.001887093768	0.00112364843	7.164520384
2	1	0.05	0.6	0.12	0	1	1	0.3	1.12	0.88	0.6	1.24	0.76	-0.009689331055	0.009689331055	-0.01853942871	0.01945495605	0.00114440918	0.00114440918	0.9684836444	0.9717206471	0.9685331495	0.003021224422	0.001922117466	0.001099106956	7.1551898
2	1	0.05	0.6	0.14	0	1	1	0.3	1.14	0.86	0.6	1.28	0.72	-0.01136779785	0.01136779785	-0.01884460449	0.01945495605	0.00114440918	0.00114440918	0.9676851728	1.381953558	0.9677100462	0.00304263782	0.001963425166	0.001079212654	7.610303043
2	1	0.05	0.6	0.16	0	1	1	0.3	1.16	0.84	0.6	1.32	0.68	-0.01304626465	0.01304626465	-0.01914978027	0.01945495605	0.00129699707	0.00129699707	0.9669344661	0.9778797841	0.966883428	0.003071142607	0.002006305757	0.00106483685	7.165591788
2	1	0.05	0.6	0.18	0	1	1	0.3	1.18	0.82	0.6	1.36	0.64	-0.01472473145	0.01472473145	-0.01930236816	0.01960754395	0.0005340576172	0.0005340576172	0.9662351216	0.980992669	0.9662264694	0.003074537283	0.002035417629	0.001039119654	7.2158925
2	1	0.05	0.6	0.2	0	1	1	0.3	1.2	0.8	0.6	1.4	0.6	-0.01655578613	0.01655578613	-0.01945495605	0.01991271973	0.0006866455078	0.0006866455078	0.9655778361	1.388758252	0.9655590656	0.003103368486	0.002076970065	0.001026398421	7.577370547
2	1	0.05	0.7	0.02	0	1	1	0.35	1.02	0.98	0.7	1.04	0.96	-0.001449584961	0.001449584961	-0.0154876709	0.02418518066	0.008773803711	0.008773803711	0.9765331652	0.95910707	0.9767771943	0.002883955727	0.001619767495	0.001264188232	7.140022842
2	1	0.05	0.7	0.04	0	1	1	0.35	1.04	0.96	0.7	1.08	0.92	-0.002822875977	0.002822875977	-0.01838684082	0.02159118652	0.005264282227	0.005264282227	0.9753658067	0.9593561168	0.9755572036	0.002891835967	0.001657124265	0.001234711702	7.159754511
2	1	0.05	0.7	0.06	0	1	1	0.35	1.06	0.94	0.7	1.12	0.88	-0.004196166992	0.004196166992	-0.01823425293	0.02082824707	0.004043579102	0.004043579102	0.9742430903	1.466053306	0.9743866015	0.002907796884	0.001698611963	0.001209184921	7.647960276
2	1	0.05	0.7	0.08	0	1	1	0.35	1.08	0.92	0.7	1.16	0.84	-0.005569458008	0.005569458008	-0.01991271973	0.0203704834	0.002365112305	0.002365112305	0.9731769136	0.9686557711	0.9732870358	0.002907466814	0.001731515602	0.001175951213	7.162946419
2	1	0.05	0.7	0.1	0	1	1	0.35	1.1	0.9	0.7	1.2	0.8	-0.006942749023	0.006942749023	-0.01976013184	0.02082824707	0.002517700195	0.002517700195	0.9721489427	0.9656326459	0.9722338733	0.002927071225	0.001771770441	0.001155300784	7.145461386
2	1	0.05	0.7	0.12	0	1	1	0.35	1.12	0.88	0.7	1.24	0.76	-0.008316040039	0.008316040039	-0.01945495605	0.02067565918	0.00114440918	0.00114440918	0.9711771754	1.411884593	0.9712825003	0.002928896663	0.001804291374	0.001124605289	7.64832565
2	1	0.05	0.7	0.14	0	1	1	0.35	1.14	0.86	0.7	1.28	0.72	-0.009841918945	0.009841918945	-0.01976013184	0.02082824707	0.0009918212891	0.0009918212891	0.9702464341	0.9704230949	0.9702709009	0.002948959999	0.001846235746	0.001102724253	7.204506614
2	1	0.05	0.7	0.16	0	1	1	0.35	1.16	0.84	0.7	1.32	0.68	-0.01136779785	0.01136779785	-0.02006530762	0.02082824707	0.0008392333984	0.0008392333984	0.969360915	0.979810565	0.9693973561	0.002964170578	0.001884252968	0.00107991761	7.213273302
2	1	0.05	0.7	0.18	0	1	1	0.35	1.18	0.82	0.7	1.36	0.64	-0.01274108887	0.01274108887	-0.02052307129	0.02082824707	0.0009918212891	0.0009918212891	0.9685188794	1.428834631	0.968531162	0.002988028404	0.00192389466	0.001064133744	7.662161688
2	1	0.05	0.7	0.2	0	1	1	0.35	1.2	0.8	0.7	1.4	0.6	-0.01441955566	0.01441955566	-0.02052307129	0.02098083496	0.0005340576172	0.0005340576172	0.9677225591	0.9826140599	0.9677339048	0.003001673214	0.001959938684	0.001041734529	7.174968522
2	1	0.05	0.8	0.02	0	1	1	0.4	1.02	0.98	0.8	1.04	0.96	-0.00114440918	0.00114440918	-0.01838684082	0.02418518066	0.009994506836	0.009994506836	0.9804477596	0.9563660142	0.9806763805	0.002793074643	0.00150999962	0.001283075024	7.137808244
2	1	0.05	0.8	0.04	0	1	1	0.4	1.04	0.96	0.8	1.08	0.92	-0.002212524414	0.002212524414	-0.01945495605	0.02326965332	0.004959106445	0.004959106445	0.9791831098	1.402335715	0.9793825237	0.002797252027	0.001544918588	0.001252333438	7.593304765
2	1	0.05	0.8	0.06	0	1	1	0.4	1.06	0.94	0.8	1.12	0.88	-0.003433227539	0.003433227539	-0.01976013184	0.02296447754	0.004043579102	0.004043579102	0.9779486893	0.9597357761	0.9781363029	0.00280976625	0.001584674644	0.001225091607	7.140284461
2	1	0.05	0.8	0.08	0	1	1	0.4	1.08	0.92	0.8	1.16	0.84	-0.004501342773	0.004501342773	-0.02113342285	0.0218963623	0.001907348633	0.001907348633	0.9767663055	0.9680837831	0.9769323972	0.002803387073	0.001613530993	0.00118985608	7.156114717
2	1	0.05	0.8	0.1	0	1	1	0.4	1.1	0.9	0.8	1.2	0.8	-0.005722045898	0.005722045898	-0.02098083496	0.02220153809	0.002212524414	0.002212524414	0.9756124945	1.319730644	0.9757368555	0.002826401071	0.001657671541	0.001168729531	7.574765719
2	1	0.05	0.8	0.12	0	1	1	0.4	1.12	0.88	0.8	1.24	0.76	-0.006790161133	0.006790161133	-0.02113342285	0.02159118652	0.001449584961	0.001449584961	0.9745053245	0.9691181071	0.9746202985	0.002832793844	0.001691016244	0.001141777601	7.207612619
2	1	0.05	0.8	0.14	0	1	1	0.4	1.14	0.86	0.8	1.28	0.72	-0.008010864258	0.008010864258	-0.02143859863	0.0218963623	0.00129699707	0.00129699707	0.9734352378	0.966647313	0.9735273214	0.002850212209	0.001731698337	0.001118513872	7.199695425
2	1	0.05	0.8	0.16	0	1	1	0.4	1.16	0.84	0.8	1.32	0.68	-0.009231567383	0.009231567383	-0.02143859863	0.0218963623	0.00129699707	0.00129699707	0.9724039865	1.481158525	0.9724867534	0.00286950497	0.001771283944	0.001098221025	7.708280964
2	1	0.05	0.8	0.18	0	1	1	0.4	1.18	0.82	0.8	1.36	0.64	-0.01045227051	0.01045227051	-0.02143859863	0.02220153809	0.0008392333984	0.0008392333984	0.9714138354	0.9705235239	0.9714705807	0.002889323002	0.001812045451	0.001077277551	7.206394894
2	1	0.05	0.8	0.2	0	1	1	0.4	1.2	0.8	0.8	1.4	0.6	-0.01167297363	0.01167297363	-0.02159118652	0.0220489502	0.0005340576172	0.0005340576172	0.9704619969	0.9810504871	0.9705226719	0.002903883781	0.00184838464	0.001055499141	7.214101387
2	1	0.05	0.9	0.02	0	1	1	0.45	1.02	0.98	0.9	1.04	0.96	-0.0008392333984	0.0008392333984	-0.01853942871	0.02647399902	0.01106262207	0.01106262207	0.9855778722	1.432579553	0.9858796486	0.002694930603	0.001409455006	0.001285475597	7.665111539
2	1	0.05	0.9	0.04	0	1	1	0.45	1.04	0.96	0.9	1.08	0.92	-0.001602172852	0.001602172852	-0.02113342285	0.02342224121	0.00602722168	0.00602722168	0.9842142066	0.971030745	0.9844653367	0.002701573147	0.001444467292	0.001257105855	7.158118436
2	1	0.05	0.9	0.06	0	1	1	0.45	1.06	0.94	0.9	1.12	0.88	-0.002365112305	0.002365112305	-0.02159118652	0.02388000488	0.002059936523	0.002059936523	0.982880753	0.957941154	0.983134272	0.002693422345	0.001472842497	0.001220579848	7.149162188
2	1	0.05	0.9	0.08	0	1	1	0.45	1.08	0.92	0.9	1.16	0.84	-0.003128051758	0.003128051758	-0.02265930176	0.02388000488	0.002059936523	0.002059936523	0.9815634585	1.392082373	0.9817468372	0.002705649042	0.00151046447	0.001195184572	7.588164448
2	1	0.05	0.9	0.1	0	1	1	0.45	1.1	0.9	0.9	1.2	0.8	-0.004043579102	0.004043579102	-0.0220489502	0.02388000488	0.001907348633	0.001907348633	0.9802767875	0.9603891689	0.9804355796	0.002726173656	0.001552944912	0.001173228744	7.140100304
2	1	0.05	0.9	0.12	0	1	1	0.45	1.12	0.88	0.9	1.24	0.76	-0.004806518555	0.004806518555	-0.02235412598	0.02326965332	0.00114440918	0.00114440918	0.9790237402	0.9612639099	0.9791732303	0.002728756191	0.001584009671	0.00114474652	7.140607682
2	1	0.05	0.9	0.14	0	1	1	0.45	1.14	0.86	0.9	1.28	0.72	-0.005722045898	0.005722045898	-0.02235412598	0.0235748291	0.00129699707	0.00129699707	0.9777963852	1.362439861	0.977939742	0.00275165278	0.001626728976	0.001124923804	7.609630259
2	1	0.05	0.9	0.16	0	1	1	0.45	1.16	0.84	0.9	1.32	0.68	-0.006484985352	0.006484985352	-0.02235412598	0.02326965332	0.00114440918	0.00114440918	0.976600792	0.9676142188	0.9767171634	0.002767886306	0.001664131729	0.001103754577	7.155152016
2	1	0.05	0.9	0.18	0	1	1	0.45	1.18	0.82	0.9	1.36	0.64	-0.007400512695	0.007400512695	-0.02265930176	0.02311706543	0.00129699707	0.00129699707	0.9754335879	0.9649843699	0.9755043582	0.002793943336	0.001707777999	0.001086165337	7.147335735
2	1	0.05	0.9	0.2	0	1	1	0.45	1.2	0.8	0.9	1.4	0.6	-0.008316040039	0.008316040039	-0.02250671387	0.02311706543	0.0005340576172	0.0005340576172	0.9742999703	1.367192027	0.9743626643	0.002802327574	0.001741169284	0.00106115829	7.609410359
2	1	0.1	0.1	0.02	0	1	1	0.05	1.02	0.98	0.1	1.04	0.96	-0.004806518555	0.004806518555	-0.01274108887	0.01792907715	0.007705688477	0.007705688477	0.9230868432	0.9710655701	0.9230295903	0.01360862531	0.00972988999	0.003878735317	7.199454484
2	1	0.1	0.1	0.04	0	1	1	0.05	1.04	0.96	0.1	1.08	0.92	-0.009536743164	0.009536743164	-0.01457214355	0.0171661377	0.00373840332	0.00373840332	0.9224020534	0.9753734381	0.9222038527	0.0136428295	0.009819635439	0.003823194064	7.205610874
2	1	0.1	0.1	0.06	0	1	1	0.05	1.06	0.94	0.1	1.12	0.88	-0.01426696777	0.01426696777	-0.01594543457	0.01747131348	0.002517700195	0.002517700195	0.9218458234	1.436456972	0.9215344967	0.0136776523	0.009897192883	0.003780459417	7.672044021
2	1	0.1	0.1	0.08	0	1	1	0.05	1.08	0.92	0.1	1.16	0.84	-0.01914978027	0.01914978027	-0.0170135498	0.01762390137	0.001449584961	0.001449584961	0.9214035013	1.000030844	0.9211985924	0.0136617847	0.009941141761	0.003720642935	7.22771072
