r	mu	stdev	T	lambda	t1	c1	t2	c2	t3	c3	b3	b2	b1	V_M	n_S	b_S	V_S	DP_Time	mean_M	var_M	semivar_MD	semivar_MU	mean_S	var_S	semivar_SD	semivar_SU	TotalTime
2	1	0.05	0.8	0.02	0	1	0.4	1.02	0.8	1.04	-0.00114440918	-0.05302429199	-0.0724029541	0.9787823817	1	0	0.960105772	1.301186799	0.9790315931	0.002785103436	0.001544270478	0.001240832958	0.9596522726	0.0035042182	0.002604154023	0.0009000641771	6.515846618
2	1	0.05	0.8	0.04	0	1	0.4	1.04	0.8	1.08	-0.002212524414	-0.04447937012	-0.05790710449	0.9766297287	1	0	0.960105772	1.28720998	0.9768184982	0.002819143197	0.001625382279	0.001193760918	0.959593111	0.003507036658	0.002605039672	0.0009019969857	6.518315133
2	1	0.05	0.8	0.06	0	1	0.4	1.06	0.8	1.12	-0.003433227539	-0.03944396973	-0.04905700684	0.9748472661	1	0	0.960105772	1.34506162	0.9750315491	0.00283817361	0.001693768494	0.001144405116	0.9596422142	0.003499496761	0.002599502641	0.0008999941202	6.848000356
2	1	0.05	0.8	0.08	0	1	0.4	1.08	0.8	1.16	-0.004501342773	-0.03593444824	-0.04249572754	0.9733112802	1	0	0.960105772	1.333466694	0.9735060718	0.002878255457	0.001771198578	0.00110705688	0.9596429233	0.003504770037	0.002604357692	0.0009004123447	6.568093656
2	1	0.05	0.8	0.1	0	1	0.4	1.1	0.8	1.2	-0.005722045898	-0.0333404541	-0.03730773926	0.9719590044	1	0	0.960105772	1.354567545	0.9720850777	0.002912909177	0.001843671303	0.001069237874	0.9596013827	0.003512815198	0.002610692171	0.0009021230274	6.582050811
2	1	0.05	0.8	0.12	0	1	0.4	1.12	0.8	1.24	-0.006790161133	-0.03135681152	-0.03303527832	0.9707527757	1	0	0.960105772	1.350082828	0.9708755522	0.002938909763	0.001904425446	0.001034484316	0.9596281024	0.003506168467	0.00260524725	0.0009009212165	6.605298211
2	1	0.05	0.8	0.14	0	1	0.4	1.14	0.8	1.28	-0.008010864258	-0.02967834473	-0.02937316895	0.969666755	1	0	0.960105772	1.648101547	0.9697303707	0.002971357281	0.001968633045	0.001002724236	0.959592994	0.00350997399	0.002607797027	0.0009021769626	6.904579713
2	1	0.05	0.8	0.16	0	1	0.4	1.16	0.8	1.32	-0.009231567383	-0.0284576416	-0.02632141113	0.9686822844	1	0	0.960105772	1.381920843	0.9687897457	0.002993248221	0.002019331569	0.000973916652	0.9596576748	0.003503144528	0.002603166769	0.0008999777586	6.649096575
2	1	0.05	0.8	0.18	0	1	0.4	1.18	0.8	1.36	-0.01045227051	-0.02738952637	-0.0235748291	0.9677854543	1	0	0.960105772	1.443042204	0.9678517802	0.003022243671	0.002071024556	0.0009512191157	0.9596384709	0.003502985292	0.002602748603	0.0009002366894	6.666941797
2	1	0.05	0.8	0.2	0	1	0.4	1.2	0.8	1.4	-0.01167297363	-0.02647399902	-0.02113342285	0.966965336	1	0	0.960105772	1.470070615	0.9670368301	0.003047881493	0.002115846903	0.00093203459	0.9596715428	0.0034981887	0.002599160478	0.0008990282211	6.978198131
