r	mu	stdev	T	lambda	t1	c1	t2	c2	t3	c3	b3	b2	b1	V_M	n_S	b_S	V_S	DP_Time	mean_M	var_M	semivar_MD	semivar_MU	mean_S	var_S	semivar_SD	semivar_SU	TotalTime
2	1	0.1	0.4	0.12	0	1	0.2	1.12	0.4	1.24	-0.02374649048	-0.03671646118	-0.03023147583	2.530816598	1	0	2.514295356	2.333662114	2.530649731	0.08168808287	0.05604880201	0.02563928088	2.512438742	0.0865785745	0.06327539143	0.02330318309	7.883868406
2	1	0.1	0.4	0.14	0	1	0.2	1.14	0.4	1.28	-0.02775192261	-0.03576278687	-0.02603530884	2.528314184	1	0	2.514295356	2.339668301	2.527882064	0.08201063265	0.0568454112	0.02516522137	2.512166286	0.08668417628	0.06332356543	0.02336061087	7.658720856
2	1	0.1	0.4	0.16	0	1	0.2	1.16	0.4	1.32	-0.0319480896	-0.03519058228	-0.02222061157	2.526157898	1	0	2.514295356	2.355238933	2.525605213	0.08252539818	0.05774836551	0.02477703267	2.512203952	0.08677583191	0.06342045273	0.0233553792	7.672851494
2	1	0.1	0.4	0.18	0	1	0.2	1.18	0.4	1.36	-0.03614425659	-0.03519058228	-0.01916885376	2.524293835	1	0	2.514295356	2.361575304	2.523863228	0.08274820666	0.05834392306	0.02440428354	2.512355045	0.08668662735	0.06335739772	0.02332922966	7.90313607
2	1	0.1	0.4	0.2	0	1	0.2	1.2	0.4	1.4	-0.04053115845	-0.03538131714	-0.01649856567	2.52267922	1	0	2.514295356	2.370113755	2.521945458	0.08318184256	0.05900318145	0.02417866109	2.512150181	0.08679059334	0.06342438412	0.02336620924	7.694366752
2	1	0.1	0.5	0.02	0	1	0.25	1.02	0.5	1.04	-0.003528594971	-0.07295608521	-0.09927749634	2.565830749	1	0	2.514295356	2.239737673	2.566273615	0.07976278965	0.04683286749	0.03292992216	2.512056649	0.08689743064	0.06350979556	0.0233876351	7.597781218
2	1	0.1	0.5	0.04	0	1	0.25	1.04	0.5	1.08	-0.007152557373	-0.05979537964	-0.07638931274	2.558195722	1	0	2.514295356	2.569950318	2.558500573	0.07961253479	0.04838919682	0.03122333797	2.512146349	0.08683643912	0.06346530238	0.02337113677	7.963144746
2	1	0.1	0.5	0.06	0	1	0.25	1.06	0.5	1.12	-0.01058578491	-0.05254745483	-0.06246566772	2.552084856	1	0	2.514295356	2.297948477	2.55207499	0.07986398693	0.05006503466	0.02979895225	2.512008303	0.08697137516	0.06357244326	0.02339893192	7.623311174
2	1	0.1	0.5	0.08	0	1	0.25	1.08	0.5	1.16	-0.01420974731	-0.04796981812	-0.05254745483	2.546984794	1	0	2.514295356	2.309760122	2.546799161	0.08003504847	0.05147742157	0.02855762689	2.511861697	0.0870040488	0.06357948002	0.02342456881	7.635939385
2	1	0.1	0.5	0.1	0	1	0.25	1.1	0.5	1.2	-0.01783370972	-0.04472732544	-0.04472732544	2.542635815	1	0	2.514295356	2.777642968	2.542428134	0.08024835937	0.05270770345	0.0275406559	2.512013826	0.08689187039	0.06349969889	0.02339217152	8.101551971
2	1	0.1	0.5	0.12	0	1	0.25	1.12	0.5	1.24	-0.02164840698	-0.04262924194	-0.03862380981	2.538878545	1	0	2.514295356	2.339113281	2.538693786	0.08042999561	0.05377751376	0.02665248182	2.512152339	0.08686442249	0.06349757706	0.02336684545	7.662143276
2	1	0.1	0.5	0.14	0	1	0.25	1.14	0.5	1.28	-0.02527236938	-0.04110336304	-0.03347396851	2.535604098	1	0	2.514295356	2.348329575	2.535213304	0.08077682485	0.0547873026	0.02598952231	2.512066409	0.08687448994	0.06349019955	0.02338429042	7.810145865
